id,name,aliases,type
AFN,Afghani,AFN|971,currency
EUR,Euro,EUR|978,currency
ALL,Lek,ALL|008,currency
DZD,Algerian Dinar,DZD|012,currency
USD,US Dollar,USD|840,currency
AOA,Kwanza,AOA|973,currency
XCD,East Caribbean Dollar,XCD|951,currency
XAD,Arab Accounting Dinar,XAD|396,currency
ARS,Argentine Peso,ARS|032,currency
AMD,Armenian Dram,AMD|051,currency
AWG,Aruban Florin,AWG|533,currency
AUD,Australian Dollar,AUD|036,currency
AZN,Azerbaijan Manat,AZN|944,currency
BSD,Bahamian Dollar,BSD|044,currency
BHD,Bahraini Dinar,BHD|048,currency
BDT,Taka,BDT|050,currency
BBD,Barbados Dollar,BBD|052,currency
BYN,Belarusian Ruble,BYN|933,currency
BZD,Belize Dollar,BZD|084,currency
XOF,CFA Franc BCEAO,XOF|952,currency
BMD,Bermudian Dollar,BMD|060,currency
INR,Indian Rupee,INR|356,currency
BTN,Ngultrum,BTN|064,currency
BOB,Boliviano,BOB|068,currency
BOV,Mvdol,BOV|984,currency
BAM,Convertible Mark,BAM|977,currency
BWP,Pula,BWP|072,currency
NOK,Norwegian Krone,NOK|578,currency
BRL,Brazilian Real,BRL|986,currency
BND,Brunei Dollar,BND|096,currency
BIF,Burundi Franc,BIF|108,currency
CVE,Cabo Verde Escudo,CVE|132,currency
KHR,Riel,KHR|116,currency
XAF,CFA Franc BEAC,XAF|950,currency
CAD,Canadian Dollar,CAD|124,currency
KYD,Cayman Islands Dollar,KYD|136,currency
CLP,Chilean Peso,CLP|152,currency
CLF,Unidad de Fomento,CLF|990,currency
CNY,Yuan Renminbi,CNY|156,currency
COP,Colombian Peso,COP|170,currency
COU,Unidad de Valor Real,COU|970,currency
KMF,Comorian Franc,KMF|174,currency
CDF,Congolese Franc,CDF|976,currency
NZD,New Zealand Dollar,NZD|554,currency
CRC,Costa Rican Colon,CRC|188,currency
CUP,Cuban Peso,CUP|192,currency
XCG,Caribbean Guilder,XCG|532,currency
CZK,Czech Koruna,CZK|203,currency
DKK,Danish Krone,DKK|208,currency
DJF,Djibouti Franc,DJF|262,currency
DOP,Dominican Peso,DOP|214,currency
EGP,Egyptian Pound,EGP|818,currency
SVC,El Salvador Colon,SVC|222,currency
ERN,Nakfa,ERN|232,currency
SZL,Lilangeni,SZL|748,currency
ETB,Ethiopian Birr,ETB|230,currency
FKP,Falkland Islands Pound,FKP|238,currency
FJD,Fiji Dollar,FJD|242,currency
XPF,CFP Franc,XPF|953,currency
GMD,Dalasi,GMD|270,currency
GEL,Lari,GEL|981,currency
GHS,Ghana Cedi,GHS|936,currency
GIP,Gibraltar Pound,GIP|292,currency
GTQ,Quetzal,GTQ|320,currency
GBP,Pound Sterling,GBP|826,currency
GNF,Guinean Franc,GNF|324,currency
GYD,Guyana Dollar,GYD|328,currency
HTG,Gourde,HTG|332,currency
HNL,Lempira,HNL|340,currency
HKD,Hong Kong Dollar,HKD|344,currency
HUF,Forint,HUF|348,currency
ISK,Iceland Krona,ISK|352,currency
IDR,Rupiah,IDR|360,currency
XDR,SDR (Special Drawing Right),XDR|960,currency
IRR,Iranian Rial,IRR|364,currency
IQD,Iraqi Dinar,IQD|368,currency
ILS,New Israeli Sheqel,ILS|376,currency
JMD,Jamaican Dollar,JMD|388,currency
JPY,Yen,JPY|392,currency
JOD,Jordanian Dinar,JOD|400,currency
KZT,Tenge,KZT|398,currency
KES,Kenyan Shilling,KES|404,currency
KPW,North Korean Won,KPW|408,currency
KRW,Won,KRW|410,currency
KWD,Kuwaiti Dinar,KWD|414,currency
KGS,Som,KGS|417,currency
LAK,Lao Kip,LAK|418,currency
LBP,Lebanese Pound,LBP|422,currency
LSL,Loti,LSL|426,currency
ZAR,Rand,ZAR|710,currency
LRD,Liberian Dollar,LRD|430,currency
LYD,Libyan Dinar,LYD|434,currency
CHF,Swiss Franc,CHF|756,currency
MOP,Pataca,MOP|446,currency
MKD,Denar,MKD|807,currency
MGA,Malagasy Ariary,MGA|969,currency
MWK,Malawi Kwacha,MWK|454,currency
MYR,Malaysian Ringgit,MYR|458,currency
MVR,Rufiyaa,MVR|462,currency
MRU,Ouguiya,MRU|929,currency
MUR,Mauritius Rupee,MUR|480,currency
XUA,ADB Unit of Account,XUA|965,currency
MXN,Mexican Peso,MXN|484,currency
MXV,Mexican Unidad de Inversion (UDI),MXV|979,currency
MDL,Moldovan Leu,MDL|498,currency
MNT,Tugrik,MNT|496,currency
MAD,Moroccan Dirham,MAD|504,currency
MZN,Mozambique Metical,MZN|943,currency
MMK,Kyat,MMK|104,currency
NAD,Namibia Dollar,NAD|516,currency
NPR,Nepalese Rupee,NPR|524,currency
NIO,Cordoba Oro,NIO|558,currency
NGN,Naira,NGN|566,currency
OMR,Rial Omani,OMR|512,currency
PKR,Pakistan Rupee,PKR|586,currency
PAB,Balboa,PAB|590,currency
PGK,Kina,PGK|598,currency
PYG,Guarani,PYG|600,currency
PEN,Sol,PEN|604,currency
PHP,Philippine Peso,PHP|608,currency
PLN,Zloty,PLN|985,currency
QAR,Qatari Rial,QAR|634,currency
RON,Romanian Leu,RON|946,currency
