id,name,aliases,type,system
0742,Veterinary Services,07,product,MCC
0763,Agricultural Co-operatives,07,product,MCC
0780,"Horticultural Services, Landscaping Services",07,product,MCC
1520,General Contractors-Residential and Commercial,15,product,MCC
1711,"Air Conditioning Contractors – Sales and Installation, Heating Contractors – Sales, Service, Installation",17,product,MCC
1731,Electrical Contractors,17,product,MCC
1740,"Insulation – Contractors, Masonry, Stonework Contractors, Plastering Contractors, Stonework and Masonry Contractors, Tile Settings Contractors",17,product,MCC
1750,Carpentry Contractors,17,product,MCC
1761,"Roofing – Contractors, Sheet Metal Work – Contractors, Siding – Contractors",17,product,MCC
1771,Contractors – Concrete Work,17,product,MCC
1799,"Contractors – Special Trade, Not Elsewhere Classified",17,product,MCC
2741,Miscellaneous Publishing and Printing,27,product,MCC
2791,"Typesetting, Plate Making, & Related Services",27,product,MCC
2842,"Specialty Cleaning, Polishing, and Sanitation Preparations",28,product,MCC
3000,UNITED AIRLINES,30,product,MCC
3001,AMERICAN AIRLINES,30,product,MCC
3002,PAN AMERICAN,30,product,MCC
3003,Airlines,30,product,MCC
3004,TRANS WORLD AIRLINES,30,product,MCC
3005,BRITISH AIRWAYS,30,product,MCC
3006,JAPAN AIRLINES,30,product,MCC
3007,AIR FRANCE,30,product,MCC
3008,LUFTHANSA,30,product,MCC
3009,AIR CANADA,30,product,MCC
3010,KLM (ROYAL DUTCH AIRLINES),30,product,MCC
3011,AEORFLOT,30,product,MCC
3012,QANTAS,30,product,MCC
3013,ALITALIA,30,product,MCC
3014,SAUDIA ARABIAN AIRLINES,30,product,MCC
3015,SWISSAIR,30,product,MCC
3016,SAS,30,product,MCC
3017,SOUTH AFRICAN AIRWAYS,30,product,MCC
3018,VARIG (BRAZIL),30,product,MCC
3019,Airlines,30,product,MCC
3020,AIR-INDIA,30,product,MCC
3021,AIR ALGERIE,30,product,MCC
3022,PHILIPPINE AIRLINES,30,product,MCC
3023,MEXICANA,30,product,MCC
3024,PAKISTAN INTERNATIONAL,30,product,MCC
3025,AIR NEW ZEALAND,30,product,MCC
3026,Airlines,30,product,MCC
3027,UTA/INTERAIR,30,product,MCC
3028,AIR MALTA,30,product,MCC
3029,SABENA,30,product,MCC
3030,AEROLINEAS ARGENTINAS,30,product,MCC
3031,OLYMPIC AIRWAYS,30,product,MCC
3032,EL AL,30,product,MCC
3033,ANSETT AIRLINES,30,product,MCC
3034,AUSTRAINLIAN AIRLINES,30,product,MCC
3035,TAP (PORTUGAL),30,product,MCC
3036,VASP (BRAZIL),30,product,MCC
3037,EGYPTAIR,30,product,MCC
3038,KUWAIT AIRLINES,30,product,MCC
3039,AVIANCA,30,product,MCC
3040,GULF AIR (BAHRAIN),30,product,MCC
3041,BALKAN-BULGARIAN AIRLINES,30,product,MCC
3042,FINNAIR,30,product,MCC
3043,AER LINGUS,30,product,MCC
3044,AIR LANKA,30,product,MCC
3045,NIGERIA AIRWAYS,30,product,MCC
3046,CRUZEIRO DO SUL (BRAZIJ),30,product,MCC
3047,THY (TURKEY),30,product,MCC
3048,ROYAL AIR MAROC,30,product,MCC
3049,TUNIS AIR,30,product,MCC
3050,ICELANDAIR,30,product,MCC
3051,AUSTRIAN AIRLINES,30,product,MCC
3052,LANCHILE,30,product,MCC
3053,AVIACO (SPAIN),30,product,MCC
3054,LADECO (CHILE),30,product,MCC
3055,LAB (BOLIVIA),30,product,MCC
3056,QUEBECAIRE,30,product,MCC
3057,EASTWEST AIRLINES (AUSTRALIA),30,product,MCC
3058,DELTA,30,product,MCC
3059,Airlines,30,product,MCC
3060,NORTHWEST,30,product,MCC
3061,CONTINENTAL,30,product,MCC
3062,WESTERN,30,product,MCC
3063,US AIR,30,product,MCC
3064,Airlines,30,product,MCC
3065,AIRINTER,30,product,MCC
3066,SOUTHWEST,30,product,MCC
3067,Airlines,30,product,MCC
3068,Airlines,30,product,MCC
3069,SUN COUNTRY AIRLINES,30,product,MCC
3070,Airlines,30,product,MCC
3071,AIR BRITISH COLUBIA,30,product,MCC
3072,Airlines,30,product,MCC
3073,Airlines,30,product,MCC
3074,Airlines,30,product,MCC
3075,SINGAPORE AIRLINES,30,product,MCC
3076,AEROMEXICO,30,product,MCC
3077,THAI AIRWAYS,30,product,MCC
3078,CHINA AIRLINES,30,product,MCC
3079,Airlines,30,product,MCC
3080,Airlines,30,product,MCC
3081,NORDAIR,30,product,MCC
3082,KOREAN AIRLINES,30,product,MCC
3083,AIR AFRIGUE,30,product,MCC
3084,EVA AIRLINES,30,product,MCC
3085,"MIDWEST EXPRESS AIRLINES, INC.",30,product,MCC
