id,name,aliases,type,country_code
Europe/Andorra,Andorra,Europe/Andorra|Europe|Europe,timezone,AD
Asia/Dubai,Dubai,Asia/Dubai|Asia|Asia,timezone,AE
Asia/Kabul,Kabul,Asia/Kabul|Asia|Asia,timezone,AF
America/Antigua,Antigua,America/Antigua|America|America,timezone,AG
America/Anguilla,Anguilla,America/Anguilla|America|America,timezone,AI
Europe/Tirane,Tirane,Europe/Tirane|Europe|Europe,timezone,AL
Asia/Yerevan,Yerevan,Asia/Yerevan|Asia|Asia,timezone,AM
Africa/Luanda,Luanda,Africa/Luanda|Africa|Africa,timezone,AO
Antarctica/McMurdo,McMurdo,Antarctica/McMurdo|Antarctica|Antarctica,timezone,AQ
Antarctica/Casey,Casey,Antarctica/Casey|Antarctica|Antarctica,timezone,AQ
Antarctica/Davis,Davis,Antarctica/Davis|Antarctica|Antarctica,timezone,AQ
Antarctica/DumontDUrville,DumontDUrville,Antarctica/DumontDUrville|Antarctica|Antarctica,timezone,AQ
Antarctica/Mawson,Mawson,Antarctica/Mawson|Antarctica|Antarctica,timezone,AQ
Antarctica/Palmer,Palmer,Antarctica/Palmer|Antarctica|Antarctica,timezone,AQ
Antarctica/Rothera,Rothera,Antarctica/Rothera|Antarctica|Antarctica,timezone,AQ
Antarctica/Syowa,Syowa,Antarctica/Syowa|Antarctica|Antarctica,timezone,AQ
Antarctica/Troll,Troll,Antarctica/Troll|Antarctica|Antarctica,timezone,AQ
Antarctica/Vostok,Vostok,Antarctica/Vostok|Antarctica|Antarctica,timezone,AQ
America/Argentina/Buenos_Aires,Buenos Aires,America/Argentina/Buenos Aires|America|America,timezone,AR
America/Argentina/Cordoba,Cordoba,America/Argentina/Cordoba|America|America,timezone,AR
America/Argentina/Salta,Salta,America/Argentina/Salta|America|America,timezone,AR
America/Argentina/Jujuy,Jujuy,America/Argentina/Jujuy|America|America,timezone,AR
America/Argentina/Tucuman,Tucuman,America/Argentina/Tucuman|America|America,timezone,AR
America/Argentina/Catamarca,Catamarca,America/Argentina/Catamarca|America|America,timezone,AR
America/Argentina/La_Rioja,La Rioja,America/Argentina/La Rioja|America|America,timezone,AR
America/Argentina/San_Juan,San Juan,America/Argentina/San Juan|America|America,timezone,AR
America/Argentina/Mendoza,Mendoza,America/Argentina/Mendoza|America|America,timezone,AR
America/Argentina/San_Luis,San Luis,America/Argentina/San Luis|America|America,timezone,AR
America/Argentina/Rio_Gallegos,Rio Gallegos,America/Argentina/Rio Gallegos|America|America,timezone,AR
America/Argentina/Ushuaia,Ushuaia,America/Argentina/Ushuaia|America|America,timezone,AR
Pacific/Pago_Pago,Pago Pago,Pacific/Pago Pago|Pacific|Pacific,timezone,AS
Europe/Vienna,Vienna,Europe/Vienna|Europe|Europe,timezone,AT
Australia/Lord_Howe,Lord Howe,Australia/Lord Howe|Australia|Australia,timezone,AU
Antarctica/Macquarie,Macquarie,Antarctica/Macquarie|Antarctica|Antarctica,timezone,AU
Australia/Hobart,Hobart,Australia/Hobart|Australia|Australia,timezone,AU
Australia/Melbourne,Melbourne,Australia/Melbourne|Australia|Australia,timezone,AU
Australia/Sydney,Sydney,Australia/Sydney|Australia|Australia,timezone,AU
Australia/Broken_Hill,Broken Hill,Australia/Broken Hill|Australia|Australia,timezone,AU
Australia/Brisbane,Brisbane,Australia/Brisbane|Australia|Australia,timezone,AU
Australia/Lindeman,Lindeman,Australia/Lindeman|Australia|Australia,timezone,AU
Australia/Adelaide,Adelaide,Australia/Adelaide|Australia|Australia,timezone,AU
Australia/Darwin,Darwin,Australia/Darwin|Australia|Australia,timezone,AU
Australia/Perth,Perth,Australia/Perth|Australia|Australia,timezone,AU
Australia/Eucla,Eucla,Australia/Eucla|Australia|Australia,timezone,AU
America/Aruba,Aruba,America/Aruba|America|America,timezone,AW
Europe/Mariehamn,Mariehamn,Europe/Mariehamn|Europe|Europe,timezone,AX
Asia/Baku,Baku,Asia/Baku|Asia|Asia,timezone,AZ
Europe/Sarajevo,Sarajevo,Europe/Sarajevo|Europe|Europe,timezone,BA
America/Barbados,Barbados,America/Barbados|America|America,timezone,BB
Asia/Dhaka,Dhaka,Asia/Dhaka|Asia|Asia,timezone,BD
Europe/Brussels,Brussels,Europe/Brussels|Europe|Europe,timezone,BE
Africa/Ouagadougou,Ouagadougou,Africa/Ouagadougou|Africa|Africa,timezone,BF
Europe/Sofia,Sofia,Europe/Sofia|Europe|Europe,timezone,BG
Asia/Bahrain,Bahrain,Asia/Bahrain|Asia|Asia,timezone,BH
Africa/Bujumbura,Bujumbura,Africa/Bujumbura|Africa|Africa,timezone,BI
Africa/Porto-Novo,Porto-Novo,Africa/Porto-Novo|Africa|Africa,timezone,BJ
America/St_Barthelemy,St Barthelemy,America/St Barthelemy|America|America,timezone,BL
Atlantic/Bermuda,Bermuda,Atlantic/Bermuda|Atlantic|Atlantic,timezone,BM
Asia/Brunei,Brunei,Asia/Brunei|Asia|Asia,timezone,BN
America/La_Paz,La Paz,America/La Paz|America|America,timezone,BO
America/Kralendijk,Kralendijk,America/Kralendijk|America|America,timezone,BQ
America/Noronha,Noronha,America/Noronha|America|America,timezone,BR
America/Belem,Belem,America/Belem|America|America,timezone,BR
America/Fortaleza,Fortaleza,America/Fortaleza|America|America,timezone,BR
America/Recife,Recife,America/Recife|America|America,timezone,BR
America/Araguaina,Araguaina,America/Araguaina|America|America,timezone,BR
America/Maceio,Maceio,America/Maceio|America|America,timezone,BR
America/Bahia,Bahia,America/Bahia|America|America,timezone,BR
America/Sao_Paulo,Sao Paulo,America/Sao Paulo|America|America,timezone,BR
America/Campo_Grande,Campo Grande,America/Campo Grande|America|America,timezone,BR
America/Cuiaba,Cuiaba,America/Cuiaba|America|America,timezone,BR
America/Santarem,Santarem,America/Santarem|America|America,timezone,BR
America/Porto_Velho,Porto Velho,America/Porto Velho|America|America,timezone,BR
America/Boa_Vista,Boa Vista,America/Boa Vista|America|America,timezone,BR
America/Manaus,Manaus,America/Manaus|America|America,timezone,BR
America/Eirunepe,Eirunepe,America/Eirunepe|America|America,timezone,BR
America/Rio_Branco,Rio Branco,America/Rio Branco|America|America,timezone,BR
America/Nassau,Nassau,America/Nassau|America|America,timezone,BS
Asia/Thimphu,Thimphu,Asia/Thimphu|Asia|Asia,timezone,BT
Africa/Gaborone,Gaborone,Africa/Gaborone|Africa|Africa,timezone,BW
Europe/Minsk,Minsk,Europe/Minsk|Europe|Europe,timezone,BY
America/Belize,Belize,America/Belize|America|America,timezone,BZ
America/St_Johns,St Johns,America/St Johns|America|America,timezone,CA
America/Halifax,Halifax,America/Halifax|America|America,timezone,CA
America/Glace_Bay,Glace Bay,America/Glace Bay|America|America,timezone,CA
America/Moncton,Moncton,America/Moncton|America|America,timezone,CA
America/Goose_Bay,Goose Bay,America/Goose Bay|America|America,timezone,CA
America/Blanc-Sablon,Blanc-Sablon,America/Blanc-Sablon|America|America,timezone,CA
America/Toronto,Toronto,America/Toronto|America|America,timezone,CA
America/Iqaluit,Iqaluit,America/Iqaluit|America|America,timezone,CA
America/Atikokan,Atikokan,America/Atikokan|America|America,timezone,CA
America/Winnipeg,Winnipeg,America/Winnipeg|America|America,timezone,CA
America/Resolute,Resolute,America/Resolute|America|America,timezone,CA
America/Rankin_Inlet,Rankin Inlet,America/Rankin Inlet|America|America,timezone,CA
America/Regina,Regina,America/Regina|America|America,timezone,CA
America/Swift_Current,Swift Current,America/Swift Current|America|America,timezone,CA
America/Edmonton,Edmonton,America/Edmonton|America|America,timezone,CA
America/Cambridge_Bay,Cambridge Bay,America/Cambridge Bay|America|America,timezone,CA
America/Inuvik,Inuvik,America/Inuvik|America|America,timezone,CA
America/Creston,Creston,America/Creston|America|America,timezone,CA
America/Dawson_Creek,Dawson Creek,America/Dawson Creek|America|America,timezone,CA
America/Fort_Nelson,Fort Nelson,America/Fort Nelson|America|America,timezone,CA
America/Whitehorse,Whitehorse,America/Whitehorse|America|America,timezone,CA
America/Dawson,Dawson,America/Dawson|America|America,timezone,CA
America/Vancouver,Vancouver,America/Vancouver|America|America,timezone,CA
Indian/Cocos,Cocos,Indian/Cocos|Indian|Indian,timezone,CC
Africa/Kinshasa,Kinshasa,Africa/Kinshasa|Africa|Africa,timezone,CD
Africa/Lubumbashi,Lubumbashi,Africa/Lubumbashi|Africa|Africa,timezone,CD
Africa/Bangui,Bangui,Africa/Bangui|Africa|Africa,timezone,CF
Africa/Brazzaville,Brazzaville,Africa/Brazzaville|Africa|Africa,timezone,CG
Europe/Zurich,Zurich,Europe/Zurich|Europe|Europe,timezone,CH
Africa/Abidjan,Abidjan,Africa/Abidjan|Africa|Africa,timezone,CI
Pacific/Rarotonga,Rarotonga,Pacific/Rarotonga|Pacific|Pacific,timezone,CK
America/Santiago,Santiago,America/Santiago|America|America,timezone,CL
America/Coyhaique,Coyhaique,America/Coyhaique|America|America,timezone,CL
America/Punta_Arenas,Punta Arenas,America/Punta Arenas|America|America,timezone,CL
Pacific/Easter,Easter,Pacific/Easter|Pacific|Pacific,timezone,CL
Africa/Douala,Douala,Africa/Douala|Africa|Africa,timezone,CM
Asia/Shanghai,Shanghai,Asia/Shanghai|Asia|Asia,timezone,CN
Asia/Urumqi,Urumqi,Asia/Urumqi|Asia|Asia,timezone,CN
America/Bogota,Bogota,America/Bogota|America|America,timezone,CO
America/Costa_Rica,Costa Rica,America/Costa Rica|America|America,timezone,CR
America/Havana,Havana,America/Havana|America|America,timezone,CU
Atlantic/Cape_Verde,Cape Verde,Atlantic/Cape Verde|Atlantic|Atlantic,timezone,CV
America/Curacao,Curacao,America/Curacao|America|America,timezone,CW
Indian/Christmas,Christmas,Indian/Christmas|Indian|Indian,timezone,CX
Asia/Nicosia,Nicosia,Asia/Nicosia|Asia|Asia,timezone,CY
Asia/Famagusta,Famagusta,Asia/Famagusta|Asia|Asia,timezone,CY
Europe/Prague,Prague,Europe/Prague|Europe|Europe,timezone,CZ
Europe/Berlin,Berlin,Europe/Berlin|Europe|Europe,timezone,DE
Europe/Busingen,Busingen,Europe/Busingen|Europe|Europe,timezone,DE
Africa/Djibouti,Djibouti,Africa/Djibouti|Africa|Africa,timezone,DJ
Europe/Copenhagen,Copenhagen,Europe/Copenhagen|Europe|Europe,timezone,DK
America/Dominica,Dominica,America/Dominica|America|America,timezone,DM
America/Santo_Domingo,Santo Domingo,America/Santo Domingo|America|America,timezone,DO
Africa/Algiers,Algiers,Africa/Algiers|Africa|Africa,timezone,DZ
America/Guayaquil,Guayaquil,America/Guayaquil|America|America,timezone,EC
Pacific/Galapagos,Galapagos,Pacific/Galapagos|Pacific|Pacific,timezone,EC
Europe/Tallinn,Tallinn,Europe/Tallinn|Europe|Europe,timezone,EE
Africa/Cairo,Cairo,Africa/Cairo|Africa|Africa,timezone,EG
Africa/El_Aaiun,El Aaiun,Africa/El Aaiun|Africa|Africa,timezone,EH
Africa/Asmara,Asmara,Africa/Asmara|Africa|Africa,timezone,ER
Europe/Madrid,Madrid,Europe/Madrid|Europe|Europe,timezone,ES
Africa/Ceuta,Ceuta,Africa/Ceuta|Africa|Africa,timezone,ES
Atlantic/Canary,Canary,Atlantic/Canary|Atlantic|Atlantic,timezone,ES
Africa/Addis_Ababa,Addis Ababa,Africa/Addis Ababa|Africa|Africa,timezone,ET
Europe/Helsinki,Helsinki,Europe/Helsinki|Europe|Europe,timezone,FI
Pacific/Fiji,Fiji,Pacific/Fiji|Pacific|Pacific,timezone,FJ
Atlantic/Stanley,Stanley,Atlantic/Stanley|Atlantic|Atlantic,timezone,FK
Pacific/Chuuk,Chuuk,Pacific/Chuuk|Pacific|Pacific,timezone,FM
