SIC Code,SIC Industry Title
01,Agricultural Production - Crops
10,Metal Mining
15,Building Construction - General Contractors
17,Construction - Special Trade Contractors
20,Food and Kindred Products
25,Furniture and Fixtures
27,"Printing, Publishing and Allied Industries"
28,Chemicals and Allied Products
30,Rubber and Miscellaneous Plastics Products
33,Primary Metal Industries
35,Industrial and Commercial Machinery
36,Electronic and Other Electrical Equipment
37,Transportation Equipment
38,Instruments and Related Products
40,Railroad Transportation
42,Trucking and Warehousing
45,Transportation by Air
48,Communications
49,"Electric, Gas, and Sanitary Services"
50,Wholesale Trade - Durable Goods
51,Wholesale Trade - Non-Durable Goods
52,Building Materials and Garden Supplies
53,General Merchandise Stores
54,Food Stores
55,Automotive Dealers and Gasoline Stations
56,Apparel and Accessory Stores
57,Furniture and Home Furnishings Stores
58,Eating and Drinking Places
60,Depository Institutions
61,Non-Depository Credit Institutions
62,Security and Commodity Brokers
63,Insurance Carriers
65,Real Estate
70,"Hotels, Rooming Houses, Camps"
72,Personal Services
73,Business Services
75,Automotive Repair and Services
78,Motion Pictures
79,Amusement and Recreation Services
80,Health Services
82,Educational Services
83,Social Services
86,Membership Organizations
87,Engineering and Management Services
